tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 87.039,,Itaporanga D&x27;Ajuda,SE,579m²,ADRIANO BERNARDES,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-lote-com-550-m-1241713949,08/Oct/2023,19:14:34
Terrenos,,R$ 87.116,,Itaporanga D&x27;Ajuda,SE,579m²,ADRIANO BERNARDES,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-lote-com-550-m-1241477610,08/Oct/2023,19:14:34
Terrenos,,R$ 170.030,,Itaporanga D&x27;Ajuda,SE,2000m²,ADRIANO BERNARDES,08/10/2023,https://se.olx.com.br/sergipe/terrenos/chacara-itaporanga-d-ajuda-1241605103,08/Oct/2023,19:14:34
Terrenos,,R$ 250.098,,Itaporanga D&x27;Ajuda,SE,,Lucas Santos,08/10/2023,https://se.olx.com.br/sergipe/terrenos/sitio-pov-sape-itaporanga-d-ajuda-1241606723,08/Oct/2023,19:14:34
Terrenos,,R$ 87.045,,Itaporanga D&x27;Ajuda,SE,579m²,ADRIANO BERNARDES,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-lote-com-550-m-1241605077,08/Oct/2023,19:14:34
Terrenos,,R$ 115.022,,Itaporanga D&x27;Ajuda,SE,525m²,Concept Imobi,07/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-89258-1241254974,08/Oct/2023,19:14:34
Terrenos,,R$ 115.010,,Itaporanga D&x27;Ajuda,SE,525m²,Concept Imobi,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-89258-1241507353,08/Oct/2023,19:14:35
Terrenos,,R$ 120.153,,Itaporanga D&x27;Ajuda,SE,525m²,ANDERSON FRANCA SANTANA,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-lote-m-c-1241641240,08/Oct/2023,19:14:35
Terrenos,,R$ 250.145,,Itaporanga D&x27;Ajuda,SE,,Lucas Santos,07/10/2023,https://se.olx.com.br/sergipe/terrenos/sitio-pov-sape-itaporanga-d-ajuda-1241243362,08/Oct/2023,19:14:34
Terrenos,,R$ 170.057,,Itaporanga D&x27;Ajuda,SE,2000m²,ADRIANO BERNARDES,08/10/2023,https://se.olx.com.br/sergipe/terrenos/chacara-itaporanga-d-ajuda-1241708705,08/Oct/2023,19:14:34
Terrenos,,R$ 98.182,,Itaporanga D&x27;Ajuda,SE,525m²,Anderson C 2991,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-1-1241600760,08/Oct/2023,19:14:34
Terrenos,,R$ 98.036,,Itaporanga D&x27;Ajuda,SE,525m²,Anderson C 2991,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-1-1241703338,08/Oct/2023,19:14:35
Terrenos,,R$ 115.184,,Itaporanga D&x27;Ajuda,SE,525m²,Concept Imobi,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-89258-1241609259,08/Oct/2023,19:14:35
Terrenos,,R$ 170.104,,Itaporanga D&x27;Ajuda,SE,2000m²,ADRIANO BERNARDES,07/10/2023,https://se.olx.com.br/sergipe/terrenos/chacara-itaporanga-d-ajuda-1241242075,08/Oct/2023,19:14:35
Terrenos,,R$ 98.085,,Itaporanga D&x27;Ajuda,SE,525m²,ADRIANO BERNARDES,08/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-lote-quitado-com-525m-1241708704,08/Oct/2023,19:14:35
Terrenos,,R$ 120.027,,Itaporanga D&x27;Ajuda,SE,525m²,ANDERSON FRANCA SANTANA,07/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-lote-m-c-1241194542,08/Oct/2023,19:14:35
Terrenos,,R$ 115.012,,Itaporanga D&x27;Ajuda,SE,525m²,Concept Imobi,06/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-89258-1241130038,08/Oct/2023,19:14:35
Terrenos,,R$ 250.112,,Itaporanga D&x27;Ajuda,SE,,Lucas Santos,08/10/2023,https://se.olx.com.br/sergipe/terrenos/sitio-pov-sape-itaporanga-d-ajuda-1241491459,08/Oct/2023,19:14:35
Terrenos,,R$ 87.077,,Itaporanga D&x27;Ajuda,SE,579m²,ADRIANO BERNARDES,07/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-lote-com-550-m-1241242099,08/Oct/2023,19:14:35
Terrenos,,R$ 90.158,,Itaporanga D&x27;Ajuda,SE,525m²,Robson F. Silva,07/10/2023,https://se.olx.com.br/sergipe/terrenos/fazenda-real-residence-caueira-1241257179,08/Oct/2023,19:14:35
