tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,2,R$ 90.000,,Machadinho D&x27;Oeste,RO,,Jhonatan _14,21/08/2023,https://ro.olx.com.br/rondonia/imoveis/vende-se-casa-na-av-presidente-medici-travessa-com-a-av-brasil-1224842096,06/Oct/2023,23:49:17
Venda - casa em rua pública,2,null,,Machadinho D&x27;Oeste,RO,,SUELI,27/08/2023,https://ro.olx.com.br/rondonia/imoveis/vendo-ou-troco-1226963855,06/Oct/2023,23:49:17
