tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 80.000,,Pérola d&x27;Oeste,PR,440m²,Gasparetto Imóveis,26/04/2023,https://pr.olx.com.br/regiao-de-francisco-beltrao-e-pato-branco/terrenos/terreno-a-venda-centro-perola-d-oeste-pr-1177718311,05/Oct/2023,19:48:08
Venda - casa em rua pública,3,R$ 500.000,,Pérola d&x27;Oeste,PR,166m²,Elizete K.,23/08/2023,https://pr.olx.com.br/regiao-de-francisco-beltrao-e-pato-branco/imoveis/casa-em-perola-d-oeste-1225541603,05/Oct/2023,19:48:08
