tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Outros,,R$ 250.000,,Mirassol D&x27;Oeste,MT,0m²,Guido Adao,11/09/2023,https://mt.olx.com.br/regiao-de-cuiaba/terrenos/vende-se-rancho-no-recanto-do-gamelao-1232425809,03/Oct/2023,22:52:16
Terrenos,,R$ 2.000.000,,Mirassol D&x27;Oeste,MT,29000m²,House Cuiabá,24/02/2023,https://mt.olx.com.br/regiao-de-cuiaba/terrenos/excelente-terreno-para-investimento-29mil-metros-quadrados-1150935806,03/Oct/2023,22:52:17
